0.46,0.6623999999761582,2,5,speaker,ichikawa
0.6623999999761582,3.4856999999284746,2,5,bystander,ichikawa
3.4856999999284746,5.683599999904633,2,5,speaker,ichikawa
5.683599999904633,8.415699999928474,2,5,sideparticipant,ichikawa
8.415699999928474,10.165699999928476,2,5,speaker,ichikawa
10.165699999928476,10.397599999904633,2,5,sideparticipant,ichikawa
10.397599999904633,10.776199999928476,2,5,addressee,ichikawa
10.776199999928476,11.849599999904633,2,5,sideparticipant,ichikawa
11.849599999904633,14.913299999952317,2,5,speaker,ichikawa
14.913299999952317,18.238099999904634,2,5,sideparticipant,ichikawa
18.238099999904634,19.408099999904632,2,5,speaker,ichikawa
19.408099999904632,22.276699999928475,2,5,sideparticipant,ichikawa
22.276699999928475,26.733099999904635,2,5,speaker,ichikawa
26.733099999904635,28.721199999928476,2,5,sideparticipant,ichikawa
28.721199999928476,32.07479999995232,2,5,speaker,ichikawa
32.07479999995232,35.6685,2,5,sideparticipant,ichikawa
35.6685,35.819299999952314,2,5,addressee,ichikawa
35.819299999952314,38.762799999952314,2,5,sideparticipant,ichikawa
38.762799999952314,39.09469999992847,2,5,addressee,ichikawa
39.09469999992847,53.70269999992848,2,5,sideparticipant,ichikawa
53.70269999992848,55.82919999992848,2,5,speaker,ichikawa
55.82919999992848,65.15379999995231,2,5,sideparticipant,ichikawa
65.15379999995231,73.48629999995231,2,5,speaker,ichikawa
73.48629999995231,74.79029999995231,2,5,sideparticipant,ichikawa
74.79029999995231,77.05189999997616,2,5,speaker,ichikawa
77.05189999997616,82.80829999995231,2,5,sideparticipant,ichikawa
82.80829999995231,84.03909999990462,2,5,speaker,ichikawa
84.03909999990462,96.14229999995231,2,5,sideparticipant,ichikawa
96.14229999995231,97.67829999995232,2,5,speaker,ichikawa
97.67829999995232,105.32759999990462,2,5,sideparticipant,ichikawa
105.32759999990462,106.61179999995231,2,5,speaker,ichikawa
106.61179999995231,108.0585,2,5,sideparticipant,ichikawa
108.0585,109.78859999990463,2,5,speaker,ichikawa
109.78859999990463,112.154,2,5,sideparticipant,ichikawa
112.154,116.14389999997616,2,5,speaker,ichikawa
116.14389999997616,118.7177999999523,2,5,sideparticipant,ichikawa
118.7177999999523,125.36739999997616,2,5,speaker,ichikawa
125.36739999997616,130.07359999990464,2,5,sideparticipant,ichikawa
130.07359999990464,131.51809999990465,2,5,speaker,ichikawa
131.51809999990465,140.29219999992847,2,5,sideparticipant,ichikawa
140.29219999992847,143.46079999995231,2,5,speaker,ichikawa
143.46079999995231,149.7935,2,5,sideparticipant,ichikawa
149.7935,152.56529999995232,2,5,speaker,ichikawa
152.56529999995232,155.05069999992847,2,5,sideparticipant,ichikawa
155.05069999992847,157.82669999992848,2,5,speaker,ichikawa
157.82669999992848,187.2545,2,5,sideparticipant,ichikawa
187.2545,189.78039999997617,2,5,speaker,ichikawa
189.78039999997617,194.77929999995231,2,5,sideparticipant,ichikawa
194.77929999995231,198.3191999999285,2,5,speaker,ichikawa
198.3191999999285,199.48859999990464,2,5,sideparticipant,ichikawa
199.48859999990464,201.44729999995232,2,5,speaker,ichikawa
201.44729999995232,222.03489999997618,2,5,sideparticipant,ichikawa
222.03489999997618,222.22919999992848,2,5,addressee,ichikawa
222.22919999992848,224.0531999999285,2,5,sideparticipant,ichikawa
224.0531999999285,224.6566999999285,2,5,addressee,ichikawa
224.6566999999285,225.49409999990465,2,5,sideparticipant,ichikawa
225.49409999990465,228.80139999997616,2,5,speaker,ichikawa
228.80139999997616,248.35809999990465,2,5,sideparticipant,ichikawa
248.35809999990465,250.73659999990463,2,5,speaker,ichikawa
250.73659999990463,255.18229999995233,2,5,sideparticipant,ichikawa
255.18229999995233,258.7325999999046,2,5,speaker,ichikawa
258.7325999999046,262.47659999990464,2,5,sideparticipant,ichikawa
262.47659999990464,264.23019999992846,2,5,speaker,ichikawa
264.23019999992846,273.6337999999523,2,5,sideparticipant,ichikawa
273.6337999999523,278.1757999999523,2,5,speaker,ichikawa
278.1757999999523,284.91069999992845,2,5,sideparticipant,ichikawa
284.91069999992845,286.3095999999046,2,5,speaker,ichikawa
286.3095999999046,287.92199999999997,2,5,sideparticipant,ichikawa
287.92199999999997,291.21819999992846,2,5,speaker,ichikawa
291.21819999992846,305.4062999999523,2,5,sideparticipant,ichikawa
305.4062999999523,306.78089999997616,2,5,speaker,ichikawa
306.78089999997616,313.61669999992847,2,5,sideparticipant,ichikawa
313.61669999992847,316.13669999992845,2,5,speaker,ichikawa
316.13669999992845,322.9447999999523,2,5,sideparticipant,ichikawa
322.9447999999523,325.1476999999285,2,5,speaker,ichikawa
325.1476999999285,327.03799999999995,2,5,sideparticipant,ichikawa
327.03799999999995,329.1060999999046,2,5,speaker,ichikawa
329.1060999999046,333.2887999999523,2,5,sideparticipant,ichikawa
333.2887999999523,337.1476999999285,2,5,speaker,ichikawa
337.1476999999285,340.3415999999046,2,5,sideparticipant,ichikawa
340.3415999999046,341.0212999999523,2,5,addressee,ichikawa
341.0212999999523,349.1762999999523,2,5,sideparticipant,ichikawa
349.1762999999523,350.0392999999523,2,5,speaker,ichikawa
350.0392999999523,354.1983999999761,2,5,sideparticipant,ichikawa
354.1983999999761,359.3045999999046,2,5,speaker,ichikawa
359.3045999999046,371.66869999992844,2,5,sideparticipant,ichikawa
371.66869999992844,375.2307999999523,2,5,speaker,ichikawa
375.2307999999523,376.519,2,5,sideparticipant,ichikawa
376.519,378.979,2,5,speaker,ichikawa
378.979,382.3907999999523,2,5,sideparticipant,ichikawa
382.3907999999523,388.0810999999046,2,5,speaker,ichikawa
388.0810999999046,388.339,2,5,sideparticipant,ichikawa
388.339,388.61539999997615,2,5,addressee,ichikawa
388.61539999997615,389.33489999997613,2,5,sideparticipant,ichikawa
389.33489999997613,390.70169999992845,2,5,speaker,ichikawa
390.70169999992845,392.2728999999761,2,5,sideparticipant,ichikawa
392.2728999999761,401.1718999999761,2,5,speaker,ichikawa
401.1718999999761,424.0237999999523,2,5,sideparticipant,ichikawa
424.0237999999523,426.2173999999761,2,5,speaker,ichikawa
426.2173999999761,432.342,2,5,sideparticipant,ichikawa
432.342,434.8786999999285,2,5,speaker,ichikawa
